,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
151,Barclay Goodrow\goodrba01,RW,SJS,,NSH,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,15:16,3,1,3,5,37.5
152,Radko Gudas\gudasra01,D,WSH,,VEG,W,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,0,,21,17:57,6,3,0,0,
153,Ben Hutton\huttobe01,D,LAK,@,MTL,L,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,17,11:42,0,1,0,0,
154,Nick Jensen\jenseni02,D,WSH,,VEG,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,14:16,0,0,0,0,
155,Ryan Johansen\johanry01,C,NSH,@,SJS,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,22:46,0,2,9,7,56.3
156,Andreas Johnsson\johnsan01,LW,TOR,,PHI,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,18:33,0,0,0,0,
157,Henri Jokiharju\jokihhe01,D,BUF,@,TBL,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,15:43,0,0,0,0,
158,David Kampf\kampfda01,C,CHI,@,PIT,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,15:12,2,0,4,1,80.0
159,Johan Larsson\larssjo02,LW/C,BUF,@,TBL,L,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:12,2,0,4,6,40.0
160,Anders Lee\leean01,C,NYI,,FLA,W,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,22,15:24,0,2,4,3,57.1
