,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
91,Joona Luoto\luotojo01,F,WPG,,VAN,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:43,1,0,0,0,
92,Charlie McAvoy\mcavoch01,D,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,23:31,3,1,0,0,
93,Ryan McDonagh\mcdonry01,D,TBL,@,BUF,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:51,2,3,0,0,
94,Dylan McIlrath\mcilrdy01,D,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:59,1,1,0,0,
95,Brandon Montour\montobr01,D,BUF,,TBL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:11,1,1,0,0,
96,Frans Nielsen\nielsfr01,C,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:55,0,1,5,9,35.7
97,Darnell Nurse\nurseda01,D,EDM,,NJD,W,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,26,20:25,2,0,0,0,
98,Kyle Okposo\okposky01,RW,BUF,,TBL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:12,1,0,1,0,100.0
99,Kyle Palmieri\palmiky01,RW,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,16:24,1,1,0,0,
100,Brendan Perlini\perlibr01,LW,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,8:44,0,0,0,0,
101,Luca Sbisa\sbisalu01,D,WPG,,VAN,W,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,17:34,2,3,0,0,
102,Tim Schaller\schalti01,LW,VAN,@,WPG,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:20,0,0,0,0,
103,Zachary Senyshyn\senysza01,RW,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:58,1,0,0,0,
104,Logan Shaw\shawlo01,RW,WPG,,VAN,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:56,2,1,1,1,50.0
