,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
187,Rocco Grimaldi\grimaro01,26,NSH,C,13,1,7,8,6,2,0.8,1,0,0,0,7,0,0,17,5.9,151,11:36,3,2,0,1,0.0
188,Filip Hronek\hronefi01,22,DET,D,17,3,5,8,-4,4,1.2,2,1,0,0,4,1,0,37,8.1,384,22:35,21,16,0,0,
189,Seth Jones\jonesse01,25,CBJ,D,16,1,7,8,-4,8,1.2,1,0,0,0,6,1,0,36,2.8,398,24:53,29,13,0,0,
190,Alexander Kerfoot\kerfoal01,25,TOR,C,17,5,3,8,5,16,1.0,4,1,0,1,2,1,0,28,17.9,251,14:45,7,14,82,87,48.5
191,Josh Leivo\leivojo01,26,VAN,LW,16,2,6,8,6,4,0.8,2,0,0,0,5,1,0,35,5.7,241,15:03,3,7,6,3,66.7
192,Patrick Marleau\marlepa01,40,SJS,C,13,3,5,8,1,4,0.9,2,1,0,0,5,0,0,22,13.6,207,15:57,9,14,9,6,60.0
193,Timo Meier\meierti01,23,SJS,RW,17,4,4,8,-2,12,0.7,3,1,0,0,4,0,0,47,8.5,304,17:54,11,24,3,10,23.1
194,Matthew Nieto\nietoma01,27,COL,LW,16,4,4,8,3,2,0.9,3,0,1,0,4,0,0,25,16.0,215,13:25,4,7,1,1,50.0
195,Matt Niskanen\niskama01,33,PHI,D,15,2,6,8,4,11,1.7,1,1,0,0,2,4,0,26,7.7,320,21:22,15,22,0,0,
196,Darnell Nurse\nurseda01,24,EDM,D,17,2,6,8,0,12,1.5,2,0,0,0,5,1,0,32,6.3,394,23:12,30,29,0,0,
197,Colton Parayko\parayco01,26,STL,D,17,0,8,8,2,6,1.3,0,0,0,0,5,2,1,37,0.0,389,22:53,20,12,0,0,
198,Joe Pavelski\paveljo01,35,DAL,C,17,3,5,8,2,6,0.8,2,1,0,1,3,2,0,29,10.3,312,18:21,8,6,67,61,52.3
